id,vehicle_identifier,longitude,latitude,date_time
18670728,YIFR2,-15.4021378,27.9224834,2024-10-29 10:13:54
18670729,CYEL8,-15.4133759,28.1441288,2024-10-29 10:13:54
18670844,EAFP7,-15.4162941,28.1340675,2024-10-29 10:14:53
18670845,QLJD0,-15.4148865,28.053299,2024-10-29 10:14:57
18670846,YIFR2,-15.4021378,27.9224834,2024-10-29 10:14:57
18670847,CYEL8,-15.4133759,28.1441288,2024-10-29 10:14:57
18670962,EAFP7,-15.4163198,28.1372166,2024-10-29 10:15:51
18670963,QLJD0,-15.4194431,28.0635128,2024-10-29 10:15:55
18670964,YIFR2,-15.4021378,27.9224834,2024-10-29 10:15:55
18670965,CYEL8,-15.4131966,28.1439743,2024-10-29 10:15:55
18671080,EAFP7,-15.4163198,28.1372166,2024-10-29 10:16:52
18671081,QLJD0,-15.4157314,28.0785656,2024-10-29 10:16:54
18671082,YIFR2,-15.4021378,27.9224834,2024-10-29 10:16:54
18671083,CYEL8,-15.4150143,28.1456127,2024-10-29 10:16:54
18671198,EAFP7,-15.4159613,28.1402874,2024-10-29 10:17:51
18671199,QLJD0,-15.4157314,28.0785656,2024-10-29 10:17:54
18671200,YIFR2,-15.4021378,27.9224834,2024-10-29 10:17:54
18671201,CYEL8,-15.4150143,28.1456127,2024-10-29 10:17:54
18671316,EAFP7,-15.4159613,28.1402874,2024-10-29 10:18:51
18671317,QLJD0,-15.4120445,28.0957947,2024-10-29 10:18:54
18671318,YIFR2,-15.4021378,27.9224834,2024-10-29 10:18:54
18671319,CYEL8,-15.4199295,28.1476097,2024-10-29 10:18:53
18671434,EAFP7,-15.4168062,28.1488132,2024-10-29 10:19:51
18671435,QLJD0,-15.4131708,28.1054974,2024-10-29 10:19:54
18671436,YIFR2,-15.4021378,27.9224834,2024-10-29 10:19:53
18671437,CYEL8,-15.4199295,28.1476097,2024-10-29 10:19:53
18671552,EAFP7,-15.4163713,28.1500416,2024-10-29 10:20:51
18671553,QLJD0,-15.4131708,28.1054974,2024-10-29 10:20:55
18671554,YIFR2,-15.4021378,27.9224834,2024-10-29 10:20:55
18671555,CYEL8,-15.4246397,28.1465092,2024-10-29 10:20:55
18671670,EAFP7,-15.4162941,28.1502209,2024-10-29 10:21:51
18671671,QLJD0,-15.4215679,28.1194744,2024-10-29 10:21:54
18671672,YIFR2,-15.4021378,27.9224834,2024-10-29 10:21:54
